finding_id,evaluator(s),merged_from_ids,artefact,engagement_type,doc_type,section_ref,severity,category,title,evidence_observation,evidence_expected,framework_refs,recommendation,effort,owner_hint,confidence,theme
lifecycle-threatscenarios-003,engagement-lifecycle-review+tiber-dora-alignment,lifecycle-threatscenarios-003; tdora-threatscenarios-003,inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.6.docx,threat-scenario,engagement-sop,Planning (overall),critical,missing-control,"Authorization chain absent — no sign-off owner, kill-switch, safe-words or abort criteria","Planning describes Scope, Threat Actors, Scenarios Description and CODENAME but contains no Rules of Engagement section, no named sign-off authority, no kill-switch / abort criteria, no safe-word convention, and no escalation contact list. Tier 1.2 work has not yet landed in this SOP.","An 'Authorization & Rules of Engagement' subsection should name: who signs off (Local CISO, Application owner, RT Lead); what triggers an immediate halt (production impact, data exposure, real incident overlap); the safe-word or coded signal used; and the contact list (RT PoC, Blue Team PoC, escalation chain).","PTES:PTES Pre-engagement Interactions — Rules of Engagement; NIST-800-115:NIST SP 800-115 §3 Planning (RoE, authorization); TIBER-EU:TIBER-EU v2 §Preparation — engagement letter / kill-switch (general); DORA:DORA Art.6 / Art.24 (general) — ICT risk management and operational testing controls; TIBER-EU:TIBER-EU v2 — risk management of the test (general)","Add an 'Authorization & Rules of Engagement' subsection to Planning, covering sign-off owner, abort criteria, kill-switch, safe-words and escalation contacts. This is the Tier 1.2 fix flagged at the prior run.",M,Red team lead / Legal-Risk,high,authorization-roe-killswitch
lifecycle-operations-003,engagement-lifecycle-review,,inputs/Engagements/1. Operations/docs/Operations_Process_v1.5.docx,operation,engagement-sop,Teams & Responsibilities / Research & Preparation,critical,missing-control,"Authorization chain incomplete — no documented sign-off, kill-switch or abort criteria","WT is 'mandated to start, stop and approve attacks' (Teams & Responsibilities) and Data Handling references 'WT Point of Contact', but the SOP contains no Rules-of-Engagement subsection, no explicit sign-off owner per Operation, no abort criteria (production impact, data exposure, real incident overlap), no kill-switch / safe-word convention, and no escalation contact list.","An 'Authorization & Rules of Engagement' subsection should be added to Research & Preparation, naming the sign-off authority, abort triggers, kill-switch procedure, safe-word and escalation chain. This is the Tier 1.2 fix flagged after the prior run.","PTES:PTES Pre-engagement Interactions — Rules of Engagement; NIST-800-115:NIST SP 800-115 §3 Planning — authorization, RoE; TIBER-EU:TIBER-EU v2 — Preparation phase: engagement letter / risk management of the test",Add a dedicated 'Authorization & Rules of Engagement' subsection to Research & Preparation (Tier 1.2). Reference the standard Euronext RoE template once it exists.,M,Red team lead / Legal-Risk,high,authorization-roe-killswitch
lifecycle-exercises-002,engagement-lifecycle-review+tiber-dora-alignment,lifecycle-exercises-002; tdora-exercises-005,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Phases Description / Initiation,critical,missing-control,"Authorization chain still incomplete — no sign-off owner, kill-switch or abort criteria","Initiation phase describes scoping and WT selection but contains no Rules of Engagement section, no named sign-off authority, no abort criteria (production impact, data exposure, real incident overlap), and no kill-switch / safe-word convention. WT is 'mandated to start, stop and approve attacks' but procedure for invoking the stop is undefined.",An 'Authorization & Rules of Engagement' subsection should be added to Initiation. Tier 1.2 work has not yet landed.,PTES:PTES Pre-engagement Interactions — Rules of Engagement; NIST-800-115:NIST SP 800-115 §3 Planning; TIBER-EU:TIBER-EU v2 §Preparation — engagement letter / risk-management of test; DORA-TLPT:DORA Art.26-27 (general) — competent authority engagement and attestation; TIBER-EU:TIBER-EU v2 — TCT engagement,"Add an Authorization & RoE subsection covering sign-off owner, abort criteria, kill-switch procedure, safe-word and escalation chain (Tier 1.2).",M,Red team lead / Legal-Risk,high,authorization-roe-killswitch
lifecycle-rtmeth-003,engagement-lifecycle-review,,inputs/Methodology/docs/RedTeam_Methodology_v0.8.docx,cross-cutting,methodology,overall,critical,missing-control,"Methodology has no authorization-chain section — no methodology-level RoE template, kill-switch, or signoff model","Methodology covers OPSEC, IoCs, OPLOGS, Threat Planning and Scoping but contains no Authorization / Rules of Engagement / kill-switch section. Each engagement SOP is then free to omit it (and currently does). 'Forbidden Attacks' is a partial proxy but is OPSEC-flavoured, not authorization-flavoured.","Methodology should define a standard RoE template, the sign-off chain (and who can stop an engagement), abort criteria, kill-switch and safe-word convention — so engagement SOPs can reference rather than re-state it. This is the Tier 1.2 keystone.",PTES:PTES Pre-engagement Interactions — Rules of Engagement; TIBER-EU:TIBER-EU v2 §Preparation — engagement letter / risk management of test (general); NIST-800-115:NIST SP 800-115 §3 Planning,Add an 'Authorization & Rules of Engagement' section to the methodology that the SOPs reference. This is the keystone of Tier 1.2.,L,Red team lead / Legal-Risk,high,authorization-roe-killswitch
tdora-aptsdossier-001,tiber-dora-alignment,,inputs/APTs/APTs_private.pptx,cross-cutting,research-process,Slides 8-11 ('TLPT RED \ confidential' classification banner),high,regulatory-misalignment,Deck displays 'TLPT RED' classification but no supporting TLPT artefacts are present in the corpus,"Slides 8, 9, 10 and 11 are stamped 'TLPT RED \ confidential' — yet the corpus contains no Control Team charter, no independent TI provider artefact, no test summary / replay / attestation, and no lead-overseer notification record for the operations described.","If material is marked TLPT, the underlying engagement must satisfy TIBER-EU v2 and DORA Art.26-27 + the RTS on TLPT: independent TI provider, Control Team distinct from blue team, test summary report, remediation plan, attestation. Otherwise the marking should be removed or rephrased (e.g. 'internal red-team — confidential').","TIBER-EU:TIBER-EU v2 — Closure phase artefacts (test summary report, replay, attestation); DORA-TLPT:Regulation (EU) 2022/2554 Art.26-27 + RTS on TLPT (TI provider, control team, attestation)","Either downgrade the classification banner on these slides if the engagements were not TLPT, or attach the regulator-mandated artefact set (TTI report, attestation, lead-overseer notice) to the operation summaries.",M,Red team lead / Legal-Risk,medium,tiber-dora-regulatory-mapping
lifecycle-threatscenarios-004,engagement-lifecycle-review,,inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.6.docx,threat-scenario,engagement-sop,throughout,high,missing-control,Data-handling rules absent from Threat Scenarios SOP,"Operations and Exercises SOPs (v1.5 / v1.6) each contain a 'Data Handling' subsection covering PIA categories, halt-on-encounter behaviour and WT escalation. Threat Scenarios v1.6 has no equivalent section even though Threat Scenarios touch internal SaaS, secret stores and ticketing where personal/regulated data is plausible.",Add a 'Data Handling' subsection matching the wording in Operations_Process v1.5 (sensitive-data halt + WT PoC contact + delete-or-return).,PTES:PTES Pre-engagement — Handling of Sensitive Information; DORA:DORA general — data protection during testing (verify clause),"Lift the Data Handling section from Operations_Process v1.5 into Threat Scenarios v1.7, tailoring the examples to internal-tool walkthroughs (e.g. CI/CD pipelines may contain regulated build artefacts).",S,Red team lead,high,naming-acronym-drift
tdora-operations-003,tiber-dora-alignment,,inputs/Engagements/1. Operations/docs/Operations_Process_v1.5.docx,operation,engagement-sop,Research & Preparation (Authorization),high,missing-control,No documented kill-switch / abort criteria — would fail DORA risk-management-of-testing examination,"WT is 'mandated to start, stop and approve attacks' but no abort criteria are defined; nothing in the SOP triggers an immediate halt for production-impact or real-incident overlap.","DORA Chapter IV requires that operational-resilience tests (whether TLPT or basic) have documented risk-management, including kill-switch and rollback. TIBER-EU v2 likewise expects safety controls in the Preparation phase.",DORA:DORA Art.24 (general) — risk management of operational resilience testing; TIBER-EU:TIBER-EU v2 — risk management of the test (general),Tier 1.2: document kill-switch criteria and procedure in the new Authorization & RoE subsection (see lifecycle finding -003).,M,Red team lead / Legal-Risk,medium,authorization-roe-killswitch
tdora-exercises-002,tiber-dora-alignment,,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Phases Description / Initiation,high,completeness-gap,"TIBER-EU Preparation actors (Control Team, RT Provider, TI Provider) not named in Initiation","Initiation introduces RT, WT, BT and mentions TI Team in Teams & Responsibilities, but does not refer to TIBER-EU-mandated actors when the Exercise is run as TLPT: Control Team (distinct from BT and WT), independent Threat Intelligence Provider, lead-overseer / competent-authority engagement.","When run as TLPT, Initiation should establish the Control Team, procure the TI Provider (independent of the RT Provider per RTS on TLPT), and engage the lead overseer / competent authority. Closure already names these actors — Initiation should too.","TIBER-EU:TIBER-EU v2 — Preparation phase actors (TCT, CT, TI provider, RT provider, WT); DORA-TLPT:DORA Art.27 + RTS on TLPT — tester / TI-provider requirements (verify live text)","Add a 'TLPT alignment' callout to Initiation listing the Control Team, TI Provider and lead-overseer engagement when the Exercise is run as TLPT. Verify clause references against the live RTS on TLPT.",M,Red team lead / Legal-Risk,medium,tiber-dora-regulatory-mapping
lifecycle-physoc-003,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Process_v1.3.docx,cross-cutting,engagement-sop,Physical Pentest / Planning,high,completeness-gap,No codename convention named for Physical Pentest engagements,"Doc never instructs Operators to assign a codename to the Physical Pentest, although the methodology says every engagement gets a codename and 'Operations and Exercises' follow the fictional/historical character theme.","Either (a) require a codename per RedTeam_Methodology v0.8 §Codename and state which theme applies, or (b) explicitly note that Physical Pentests inherit the codename of the parent Exercise/Operation when nested under one.",OTHER:RedTeam_Methodology v0.8 §Codename,Add a 'Codename' bullet to Planning saying the Physical Pentest receives a codename per the team theme (standalone) or inherits the parent engagement's codename.,S,Red team lead,high,naming-acronym-drift
lifecycle-physoc-002,engagement-lifecycle-review+tiber-dora-alignment,lifecycle-physoc-002; tdora-physoc-002,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Process_v1.3.docx,cross-cutting,engagement-sop,Planning / Get out of jail letter,high,missing-control,"Authorization letter present but operator safety controls (kill-switch, safe-word, abort criteria) absent","'In a worst case scenario where, during the tests, local personnel get suspicious of the Red Team Operators activities and threaten to take actions, such as calling the police... the Red Team Operators need to show the Get out of jail letter to the person...'","Beyond the letter, operator safety needs: (a) a kill-switch / safe-word for stopping the engagement immediately, (b) an abort criteria list (operator detained, physical altercation, unexpected restricted area, real incident overlap), (c) a duress / check-in protocol with the Local CISO. Tier 1.2 work has not landed here either.",OSSTMM:OSSTMM §Operational Security — safety controls; PTES:PTES Pre-engagement — Rules of Engagement; NIST-800-115:NIST SP 800-115 §6 Physical security testing — safety considerations; DORA:DORA Art.24 (general) — risk management of operational resilience testing; TIBER-EU:TIBER-EU v2 — risk management of the test (general),"Add an 'Operator Safety & Abort Criteria' subsection to Planning covering kill-switch, safe-word, abort criteria, duress protocol, and a regular check-in cadence with the Local CISO. This is the Tier 1.2 fix flagged at the prior run.",M,Red team lead / Legal-Risk,high,authorization-roe-killswitch
