"finding_id","evaluator(s)","artefact","engagement_type","severity","category","title","evidence","expected","framework_refs","recommendation","effort","owner_hint","confidence"
"lifecycle-exercises-001","engagement-lifecycle-review","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","critical","completeness-gap","Authorization phase still implicit: no named legal sign-off, no kill-switch / abort criteria, no safe-words","Initiation describes WT selection and critical-asset information sharing but no Authorization artefact: no signer named, no kill-switch / abort criteria, no safe-words.","An Authorization subsection (post-Initiation / pre-Targeted TI): sign-off authorities, RoE, safe-words, abort criteria, Control Team and TLPT Authority for TLPT.","TIBER-EU:TIBER-EU v2 §4; DORA-TLPT:DORA Art. 26(2)","Critical for TLPT defensibility.","M","Red team lead + Legal/Risk + Control Team","high"
"lifecycle-operations-001","engagement-lifecycle-review","inputs/Engagements/1. Operations/docs/Operations_Process_v1.3.docx","operation","critical","completeness-gap","Authorization phase implicit: no legal sign-off, no RoE artefact, no safe-words, no kill-switch / abort criteria","Operations jumps from Research & Preparation directly to Red Team Test. 'Anything is in scope' wording. No Authorization phase naming a sign-off authority, RoE artefact, safe-words, kill-switch, or abort criteria.","An Authorization phase between Research & Preparation and Red Team Test: sign-off authority, RoE, safe-words, abort/kill-switch.","TIBER-EU:TIBER-EU v2 §4; PTES:PTES Pre-engagement","Tier 1.2 work.","M","Red team lead + Legal/Risk","high"
"lifecycle-physoc-001","engagement-lifecycle-review","inputs/Physical & Social/docs/PhysicalSocial_Process_v1.1.docx","cross-cutting","critical","safety-or-opsec","Operator safety protocol still absent: no scheduled check-ins, no abort/kill-switch wording, no emergency contacts","Physical engagements carry physical-safety risk to operators. No check-in cadence, no abort word, no documented emergency contacts (medical, legal, in-country).","An 'Operator safety protocol' subsection: scheduled check-in cadence; abort/kill-switch; emergency contacts (medical, legal, in-country POC); evacuation procedure.","OTHER:internal corpus consistency","Critical for operator welfare and engagement defensibility.","M","Red team lead + Legal/HR","high"
"lifecycle-threatscenarios-001","engagement-lifecycle-review","inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.4.docx","threat-scenario","critical","completeness-gap","Authorization phase still absent: no legal sign-off, no RoE artefact, no kill-switch, no safe-words, no abort criteria","Planning section names a codename, scope and threat actors but does not name an authoriser, an RoE artefact, kill-switch conditions, safe-words, or abort criteria. Threat Scenarios touch production tools — uncontrolled abort risk.","An Authorization subsection in Planning naming: who signs off; RoE artefact location; named kill-switch / abort conditions; safe-words; who can invoke them.","TIBER-EU:TIBER-EU v2 §4; PTES:PTES Pre-engagement","Add an Authorization subsection (Tier 1.2 work).","M","Red team lead + Legal/Risk","high"
"lifecycle-rtmeth-001","engagement-lifecycle-review","inputs/Methodology/docs/RedTeam_Methodology_v0.6.docx","cross-cutting","critical","completeness-gap","Authorization chain, kill-switch and safe-words still not defined in the methodology","v0.6 added Codename theme and Purple-Team reference but no Authorization chain section.","An 'Authorization and Engagement Controls' section: legal sign-off; RoE template + storage; safe-words; abort/kill-switch; escalation; WT relationship.","TIBER-EU:TIBER-EU v2 §4; DORA-TLPT:DORA Art. 26(2); TIBER-EU:TIBER-EU v2 §3; DORA-TLPT:DORA Art. 26-27 + RTS on TLPT; OTHER:internal corpus consistency","Tier 1.2 work. Critical for DORA Art. 26-27 defensibility.","L","Red team lead + Legal/Risk","high"
"coherence-001","corpus-coherence","workdir/methodology-docs-redteam-methodology-v0-6-docx","cross-cutting","high","internal-inconsistency","Naming drift: 'One Note' in methodology v0.6 OPLOGS section; three SOPs already fixed to 'OneNote'","redteam-methodology v0.6 OPLOGS line 129 -> 'members can use One Note' || TS v1.4, Ops v1.3, Ex v1.4 use 'OneNote'.","Align all artefacts to 'OneNote'.","OTHER:internal corpus consistency","Single find/replace in the methodology.","S","Red team lead","high"
"coherence-003","corpus-coherence","workdir/engagements-2-exercises-docs-exercises-process-v1-4-docx","cross-cutting","high","internal-inconsistency","Acronym conflict: 'WT PoC' / 'RT PoC' in Exercises v1.4 Deconfliction; Operations v1.3 was rewritten to full form","exercises v1.4 line 82 -> 'WT PoC to contact the RT PoC' || operations v1.3 line 52 (same passage) -> 'WT Point of Contact to contact the RT Point of Contact'.","Align to 'WT Point of Contact' / 'RT Point of Contact'. PoC canonical = Proof of Concept; never abbreviate Point of Contact to PoC.","OTHER:internal corpus consistency","Same find/replace as applied to Operations.","S","Red team lead","high"
"lifecycle-operations-002","engagement-lifecycle-review","inputs/Engagements/1. Operations/docs/Operations_Process_v1.3.docx","operation","high","internal-inconsistency","Section opens 'two main teams' but describes three (RT, BT, WT)","Line 17: 'two main teams to be considered' but section describes RT, BT, WT.","Either 'three main teams' or reword to clarify WT as coordination/authorisation role.","OTHER:internal corpus consistency","Wording fix.","S","Red team lead","high"
"lifecycle-physoc-003","engagement-lifecycle-review","inputs/Physical & Social/docs/PhysicalSocial_Process_v1.1.docx","cross-cutting","high","scope-gap","'VRC' acronym used in Questionnaire section without expansion","Line 46: 'team's VRC' — curated vocab expands to Vulnerability Rating & Categorization but doc itself doesn't expand on first use.","Expand VRC on first use in the Questionnaire section.","OTHER:internal corpus consistency","Single text fix.","S","Red team lead","high"
"lifecycle-exercises-002","engagement-lifecycle-review","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","high","regulatory-misalignment","TIBER-EU role mapping (TLPT Authority, Control Team, TI Provider, RT Provider) not made explicit in Initiation","Doc lists RT, BT, WT and a TI Team but does not map them to TIBER-EU role taxonomy at engagement-start. The Purple-Team Close-Out subsection mentions 'RT Provider, TI Provider, Control Team and the financial entity' but only at attestation time.","An explicit TIBER-EU role mapping in Initiation, naming who plays each external role within Euronext.","TIBER-EU:TIBER-EU v2 §3; DORA-TLPT:DORA Art. 26-27","Add the role-mapping paragraph.","M","Red team lead + Legal/Risk","high"
