"finding_id","evaluator(s)","merged_from","merged_finding_ids","artefact","doc_type","engagement_type","section_ref","severity","category","title","evidence_quote_or_observation","expected","framework_refs","recommendation_text","effort","owner_hint","confidence"
"lifecycle-threatscenarios-001","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-threatscenarios-001","inputs/Engagements/0. Threat Scenarios/ThreatScenarios_Process_v1.1.docx","engagement-sop","threat-scenario","Planning / Execution / Report (whole document)","critical","completeness-gap","No purple-team close-out described, despite Threat Scenario format requiring blue team in the room","The document defines three phases — Planning, Execution and Report — and never mentions the blue team, SOC, defenders, joint walk-through, replay or any purple-team close-out activity. The Planning section describes 'a brainstorming session among the operators' (red team only) and the Report section is a written deliverable, not a joint review.","An explicit purple-team close-out phase where red and blue jointly walk through each scenario, discuss observed detections and controls, and agree defensive improvements — a mandatory step for all three Euronext engagement types and the defining feature of a Threat Scenario.","PTES:PTES Post-Exploitation / Reporting (joint debrief) (PTES treats the debrief as a deliverable; Euronext's threat-scenario format goes further and requires a live blue+red walk-through.); TIBER-EU:TIBER-EU v2 Closure phase — replay and 360° feedback (Cited as analogous practice; not invoking TLPT applicability here.)","Add an explicit 'Purple-team close-out' phase between Execution and Report. Specify required attendees (red team operators, SOC/blue team representative, target system owner), the agenda (per-scenario walk-through, detections observed vs missed, control recommendations) and the output (jointly-signed action list feeding the Report).","M","Red team lead with Purple team / SOC","high"
"lifecycle-threatscenarios-002","engagement-lifecycle-review; tiber-dora-alignment","engagement-lifecycle-review; tiber-dora-alignment","lifecycle-threatscenarios-002; tdora-threatscenarios-004; tdora-threatscenarios-007","inputs/Engagements/0. Threat Scenarios/ThreatScenarios_Process_v1.1.docx","engagement-sop","threat-scenario","(absent)","critical","missing-control","No authorization / Rules-of-Engagement section: no legal sign-off, no kill-switch, no abort criteria","<missing> — the document has no Authorization, RoE, Legal, Sign-off, Kill-switch, Abort or Safe-word section. The closest control is the Scope text 'Clearly define the scope and limitations of the engagement … include any restrictions on techniques, tools, or attack vectors', which describes scope, not an authorization chain.","A named authorization section identifying who signs off (system owner, CISO/Head of Security, Legal), the abort/kill-switch criteria, who can invoke them, the safe-word(s), and the data-handling rules for sensitive content encountered during scenario execution.","PTES:PTES Pre-engagement Interactions (Rules of Engagement, authorization); NIST-800-115:NIST SP 800-115 §3 — Planning and Rules of Engagement; OSSTMM:OSSTMM Rules of Engagement (Cited from memory.); TIBER-EU:TIBER-EU v2 (general) — Control Team and White Team roles (Cited from memory.); DORA-TLPT:DORA Art.26/27 (general) and RTS on TLPT — control team / test mandate (Cited from memory; verify against live RTS on TLPT.); DORA-TLPT:DORA Art.26/27 (general) and RTS on TLPT — data protection during testing (Cited from memory; verify against live RTS on TLPT.); OTHER:GDPR — legal basis and minimisation for security testing (Cited from memory; verify with Legal/DPO.)","Add a 'Rules of Engagement / Authorization' section to the Planning phase. As a minimum: named approver(s) per scope (system owner + Head of Red Team / CISO), explicit Legal sign-off where personal or production data is in scope, kill-switch and abort criteria, safe-word, and the contacts on call to invoke them.","M","Red team lead with Legal/Risk","high"
"lifecycle-operations-003","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-operations-003","inputs/Engagements/1. Operations/Operations_Process_v1.0.docx","engagement-sop","operation","Closure","critical","missing-control","No purple-teaming close-out with the blue team","The final stage for the Operation is to report the outcome of the scenario. This report should contain enough information for the BT to understand every step of the attack, and the reasoning behind them. ... In the report outcomes, it should also contain the Opportunities For Improvements for both the Blue Team and the Red Team, highlighting what went well and what went wrong as well as recommendations on how to improve.","A mandatory joint replay / purple-team workshop with the Blue Team after every Operation, with documented attendees, agenda, detection-vs-action mapping, and agreed defensive improvements.","TIBER-EU:TIBER-EU v2 Closure phase (replay & 360 feedback) (TIBER-EU mandates a replay workshop in Closure; Euronext applies the same mandatory purple-team close-out to Operations.); PTES:PTES Reporting / Post-Engagement","Add an explicit 'Purple-team close-out' subsection under Closure: a mandatory live workshop with the BT to replay the scenario, map BT detections (or absence) against each TTP, and capture defensive improvements. Make the workshop a gating step before the Operation can be marked complete.","M","Red team lead / Purple team","high"
"lifecycle-operations-007","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-operations-007","inputs/Engagements/1. Operations/Operations_Process_v1.0.docx","engagement-sop","operation","Introduction / Teams & Responsibilities","critical","missing-control","Authorization phase is implicit; no legal sign-off, RoE artefact, safe-words, or abort criteria defined","Complies with all laws, regulations, policies, programs and Rules of Engagement (RoE).","An Authorization phase describing: who signs the engagement letter (legal, risk, business owner), where the RoE document lives, safe-words for abort, kill-switch authority, blue-team notification rules, and pre-flight check before execution.","PTES:PTES Pre-engagement Interactions; NIST-800-115:NIST SP 800-115 §3 Planning / Rules of Engagement; TIBER-EU:TIBER-EU v2 Preparation / engagement letter","Add an explicit Authorization section before Research & Preparation listing: the engagement letter / RoE owner, required signatories (legal, risk, business owner), safe-word convention, kill-switch authority, abort criteria, and a pre-flight checklist that must be signed before any RT activity.","M","Red team lead / Legal-Risk","high"
"lifecycle-exercises-001","engagement-lifecycle-review; tiber-dora-alignment","engagement-lifecycle-review; tiber-dora-alignment","lifecycle-exercises-001; lifecycle-exercises-002; lifecycle-exercises-006; lifecycle-exercises-017; tdora-exercises-005","inputs/Engagements/2. Exercises/Exercises_Process_v1.1.docx","engagement-sop","exercise","Closure","critical","completeness-gap","No mandatory purple-team close-out / replay with the blue team","The Closure section describes only outcome reporting: 'The final stage for the Exercise is to report the outcome of each scenario... In this report, there should also be information regarding the vulnerabilities found, similar to a regular Pentesting report'. There is no replay, walkthrough, or 360-degree session with the BT to translate red findings into blue improvements.","A defined purple-team close-out workshop with the blue team that walks through TTPs used, detections triggered/missed, and agrees defensive improvements; mandatory for every Exercise.","TIBER-EU:TIBER-EU v2 Closure phase (Replay & 360 feedback) (Closure phase mandates joint replay and 360 feedback even for non-TLPT exercises this is the de facto good practice.); PTES:PTES Reporting / Post-Engagement; PTES:PTES Post-Engagement; NIST-800-115:NIST SP 800-115 Section 8 (Post-Testing Activities) (Recommends translating findings into actionable defensive improvements.); PTES:PTES Post-Engagement (Remediation); TIBER-EU:TIBER-EU v2 Closure (Remediation Plan); PTES:PTES Post-Exploitation / Cleanup; NIST-800-115:NIST SP 800-115 Section 8.3 (Post-Test); TIBER-EU:TIBER-EU v2 Closure phase (replay, 360 feedback, remediation plan, attestation) (Cited from memory; verify against live framework text.); DORA-TLPT:DORA Art.26 / RTS on TLPT (closure artefacts) (Cited from memory; verify against live regulation and RTS text.)","Add a mandatory 'Purple-team replay' step in Closure: a working session with the BT walking the kill chain step-by-step, mapping each TTP to detections/preventions in place, and agreeing concrete defensive improvements. Capture as a deliverable (report annex or separate replay note).","M","Red team lead + Blue team lead","high"
"lifecycle-exercises-005","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-exercises-005","inputs/Engagements/2. Exercises/Exercises_Process_v1.1.docx","engagement-sop","exercise","Initiation; Teams & Responsibilities","critical","missing-control","Authorization chain incomplete: no named legal sign-off, no kill-switch / abort criteria, no safe-words","The doc references RoE and that the WT 'is mandated to start, stop and approve attacks', and notes data-handling halts, but never names: (a) the legal/risk sign-off authority required before launch, (b) kill-switch / abort criteria (what conditions stop the exercise), (c) safe-words or out-of-band channels for emergency stop.","Authorization section must name the legal sign-off owner, list explicit abort criteria (production impact, real incident, business event), and define a safe-word / emergency stop channel.","PTES:PTES Pre-engagement Interactions (Authorization, Emergency Contacts); NIST-800-115:NIST SP 800-115 Section 4 (Planning and Rules of Engagement)","Add an 'Authorization & Kill-switch' subsection: (1) named legal/risk sign-off prerequisite, (2) explicit abort criteria, (3) safe-word + 24/7 contact channel between RT lead and WT lead, (4) what 'stop' means operationally.","M","Red team lead + Legal/Risk","high"
"lifecycle-rtmeth-003","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-rtmeth-003","inputs/Methodology/RedTeam_Methodology_v0.3.docx","methodology","cross-cutting","Introduction; (document-wide)","critical","missing-control","Authorization, Rules of Engagement, legal sign-off and kill-switch / abort criteria are not described","<missing> — the methodology references 'WT Point of Contact' once (Data Handling) but provides no Authorization section, no Rules of Engagement template, no legal sign-off pathway, no safe-words, no abort/kill-switch criteria, and no description of who approves an engagement.","A methodology must define the authorization chain (sign-off authorities), the Rules of Engagement contents, safe-words, abort/kill-switch conditions, and what triggers an engagement halt — even by reference to a per-engagement RoE template.","PTES:PTES Pre-engagement Interactions / Rules of Engagement; NIST-800-115:NIST SP 800-115 §3 Planning; TIBER-EU:TIBER-EU v2 (general) Preparation — Engagement Letter / Scoping","Add a dedicated 'Authorization & Rules of Engagement' section that points to a mandatory RoE template covering: approving authority, legal/risk sign-off, safe-words, kill-switch, abort criteria, blue-team notification rules per engagement type, and indemnities. Make sign-off a hard pre-execution gate.","M","Red team lead / Legal & Risk","high"
"tdora-rtmeth-002","tiber-dora-alignment","tiber-dora-alignment","tdora-rtmeth-002; tdora-rtmeth-004; tdora-rtmeth-005; tdora-rtmeth-006","inputs/Methodology/RedTeam_Methodology_v0.3.docx","methodology","cross-cutting","(document-wide)","critical","missing-control","TIBER-EU Preparation elements absent: GTL, scoping doc, engagement letter, critical-functions ID, provider procurement","<missing> — no mention of Generic Threat Landscape (GTL), no scoping document, no engagement letter, no identification of critical/important functions, no procurement criteria for TI/RT providers (the doc does not mention external TI or RT providers at all).","If Exercises are intended to be TIBER-EU / TLPT, the methodology must reference Preparation-phase artefacts: GTL ingestion, an engagement letter, identification of critical or important functions per DORA, and procurement of independent TI and RT providers (or formal internal-tester rotation under DORA Art.27 — see separate finding).","TIBER-EU:TIBER-EU v2 (general) Preparation phase; DORA-TLPT:DORA Art.26 (general); RTS on TLPT (general) — scope, providers, critical functions (Memory cite — verify against the published RTS on TLPT.); TIBER-EU:TIBER-EU v2 (general) — actors (TCT, CT, WT, TI, RT); DORA-TLPT:DORA Art.26/Art.27 (general); RTS on TLPT — control team, communication with authorities (Memory cite — verify.); DORA-TLPT:DORA Art.27 (general) — requirements for testers (Memory cite — verify against the live regulation and the RTS on TLPT.); TIBER-EU:TIBER-EU v2 (general) — RT provider procurement; TIBER-EU:TIBER-EU v2 (general) Closure phase — replay, 360° feedback, attestation; DORA-TLPT:DORA Art.26 (general); RTS on TLPT — closure artefacts and attestation (Memory cite — verify.)","Add a Preparation section to the methodology covering: GTL consumption, engagement letter template, critical/important-functions identification, and procurement criteria for independent TI and RT providers (or internal-tester arrangements). Verify each item against the live TIBER-EU v2 text and the DORA RTS on TLPT.","L","Red team lead / Risk & Compliance","low"
"lifecycle-physoc-003","engagement-lifecycle-review; tiber-dora-alignment","engagement-lifecycle-review; tiber-dora-alignment","lifecycle-physoc-003; tdora-physoc-005","inputs/Physical & Social/PhysicalSocial_Process_v1.0.docx","engagement-sop","cross-cutting","Physical Pentest / Report","critical","completeness-gap","No purple-teaming close-out with blue team and physical security","""The final stage for the Physical Pentest is to report the outcome of each scenario."" The document ends at reporting; there is no joint debrief with the blue team, the SOC, the physical security function or the Local Facilities Manager to translate findings into defensive improvements.","A mandatory purple-team close-out phase that walks blue team, SOC and physical security through what was done, when, and what should have been detected or stopped, with concrete defensive actions agreed.","TIBER-EU:TIBER-EU v2 Closure phase (replay / 360 feedback) (Closure includes a replay workshop with the blue team.); PTES:PTES Reporting; TIBER-EU:TIBER-EU v2 Closure phase artefacts; DORA-TLPT:DORA Art.26 - test summary, remediation plan, attestation (general) (Confidence low - cited from memory.)","Add a 'Purple-team close-out' section after Report that mandates a joint replay with blue team, SOC and physical security covering timeline, IoCs/physical indicators, detection gaps and agreed control improvements.","M","Purple team / Red team lead","high"
"lifecycle-physoc-005","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-physoc-005","inputs/Physical & Social/PhysicalSocial_Process_v1.0.docx","engagement-sop","cross-cutting","Physical Pentest / Planning, Execution","critical","safety-or-opsec","No kill-switch, abort criteria or check-in / emergency-contact protocol for operators on site","""This letter is to be used in a worst case scenario where, during the tests, local personnel get suspicious of the Red Team Operators activities and threaten to take actions, such as calling the police."" There is no description of how an operator triggers an abort, who they call if injured, what hours they may operate, or how check-ins back to a control point are scheduled.","A documented operator safety protocol: scheduled check-ins to a named control point, abort/kill-switch wording, emergency contacts (medical, legal, in-country), permitted hours, and escalation if a check-in is missed.","NIST-800-115:NIST SP 800-115 §3 Planning - Rules of Engagement (RoE must define communications, safety and abort triggers.); OSSTMM:OSSTMM PHYSSEC Rules of Engagement","Add a 'Operator safety and check-ins' subsection to Planning specifying: control-point contact, mandatory check-in cadence, missed-check-in escalation, abort trigger words, in-country emergency contacts (medical / legal), permitted hours and clothing/identification.","M","Red team lead / Legal / HR","high"
